model,final_nav,total_return,sharpe,max_drawdown,total_turnover,average_turnover,trade_count,code,stock,seed,turnover_penalty,rebalance_threshold,drawdown_penalty
Transaction-Cost-Aware R-PPO,1.2612014970000005,0.2612014970000005,1.0652654680414215,-0.12912716667731428,10.903124823576979,0.04524118184056838,49,sh.601628,China Life,0.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.3319574450000005,0.33195744500000046,1.320890375238781,-0.10135549130276933,9.34602980805135,0.03878020667241224,85,sh.601628,China Life,1.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.2950744520000002,0.29507445200000015,1.3590812121784628,-0.1085326673054603,0.885616231728275,0.0036747561482501035,8,sh.601628,China Life,2.0,0.005,0.05,0.0
PPO (Daily),1.2120265640000012,0.2120265640000012,0.9828097085894284,-0.11813397018492988,20.775236596279377,0.08620430122937502,163,sh.601628,China Life,0.0,0.001,0.05,
PPO (Daily),1.2062115040000005,0.20621150400000055,1.1732787269146954,-0.0857631660802134,16.54385466398547,0.06864669985056211,142,sh.601628,China Life,1.0,0.001,0.05,
PPO (Daily),1.1192398010000009,0.11923980100000087,0.7035690528739806,-0.11152474221517616,18.161218962897657,0.07535775503277035,148,sh.601628,China Life,2.0,0.001,0.05,
A2C (Daily),1.2645260560000002,0.26452605600000023,1.3427356830555222,-0.08896963692595539,1.8135199934197286,0.007524979225808003,23,sh.601628,China Life,0.0,0.001,0.05,
A2C (Daily),1.2491605239999999,0.24916052399999988,1.2886714727128037,-0.0963311048365505,1.001273793976189,0.004154663045544353,9,sh.601628,China Life,1.0,0.001,0.05,
A2C (Daily),1.2559991990000001,0.2559991990000001,1.2943936574106558,-0.09903020958914932,1.3211890505721309,0.0054821122430378875,12,sh.601628,China Life,2.0,0.001,0.05,
GARCH,1.1093937370000044,0.10939373700000443,0.4928311019380739,-0.20011202355718904,,,0,sh.601628,China Life,,,,
Buy&Hold,1.5091237450000001,0.5091237450000001,1.279159088347513,-0.19495443591762784,,,0,sh.601628,China Life,,,,
Transaction-Cost-Aware R-PPO,1.203192298,0.20319229800000005,0.9331088776322684,-0.1289330375490686,0.8910896133921069,0.003697467275485921,6,sh.601688,Huatai Securities,0.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.139758988,0.13975898800000008,0.9071183103489067,-0.09498051603337698,0.632361497938789,0.002623906630451407,4,sh.601688,Huatai Securities,1.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.314426995,0.31442699500000004,1.1620689851506236,-0.198647985908585,2.02001742631824,0.00838181504696365,9,sh.601688,Huatai Securities,2.0,0.005,0.05,0.0
PPO (Daily),1.0954101850000013,0.09541018500000131,0.7116235580452044,-0.11410381658773494,17.945292813591955,0.07446179590702055,149,sh.601688,Huatai Securities,0.0,0.001,0.05,
PPO (Daily),1.104032171000001,0.10403217100000095,0.6398343716867347,-0.11906233637289365,18.842500893229772,0.07818465100925216,150,sh.601688,Huatai Securities,1.0,0.001,0.05,
PPO (Daily),1.0583904490000007,0.05839044900000068,0.4491180673403161,-0.12058663978686512,9.462560696522864,0.03926373732997039,108,sh.601688,Huatai Securities,2.0,0.001,0.05,
A2C (Daily),1.1747782000000004,0.17477820000000044,0.9154696222776015,-0.11291166274438624,4.18844811867372,0.01737945277457975,52,sh.601688,Huatai Securities,0.0,0.001,0.05,
A2C (Daily),1.1610347530000003,0.16103475300000025,0.9624218497027884,-0.10115995267977895,2.1080978940325052,0.008747294166109981,27,sh.601688,Huatai Securities,1.0,0.001,0.05,
A2C (Daily),1.1658029449999998,0.1658029449999998,0.9277448764705637,-0.10585094510713944,1.584339646665642,0.006574023430147892,18,sh.601688,Huatai Securities,2.0,0.001,0.05,
GARCH,0.8306490720000029,-0.16935092799999707,-2.063531773620424,-0.17586129902703507,,,0,sh.601688,Huatai Securities,,,,
Buy&Hold,1.30617391,0.30617391000000005,0.9402718501499302,-0.19846940074009845,,,0,sh.601688,Huatai Securities,,,,
Transaction-Cost-Aware R-PPO,1.285384604,0.2853846040000001,1.211032792992112,-0.12091651217135646,0.857378122234021,0.003557585569435772,5,sz.002594,BYD,0.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.6047572950000004,0.6047572950000004,1.7143046500360692,-0.1593591919179197,6.7584577898871,0.02804339331903361,25,sz.002594,BYD,1.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.4173988690000006,0.41739886900000056,1.2647221973851515,-0.15854806008975064,7.076742707344807,0.029364077623837373,41,sz.002594,BYD,2.0,0.005,0.05,0.0
PPO (Daily),0.9936376780000034,-0.006362321999996645,0.08656985376849081,-0.15238632724869583,76.46838700121799,0.3172962116233112,166,sz.002594,BYD,0.0,0.001,0.05,
PPO (Daily),1.2030699300000014,0.2030699300000014,1.0576317986453698,-0.09656295872062648,34.88868424442785,0.14476632466567574,188,sz.002594,BYD,1.0,0.001,0.05,
PPO (Daily),1.033167664000003,0.03316766400000293,0.276969826740434,-0.10813141500267587,33.71075544634533,0.13987865330433746,188,sz.002594,BYD,2.0,0.001,0.05,
A2C (Daily),1.183259438,0.1832594380000001,1.0498772378299763,-0.09341246462279273,2.7463612339034604,0.011395689767234275,38,sz.002594,BYD,0.0,0.001,0.05,
A2C (Daily),1.1930826750000003,0.19308267500000031,1.0487240861060418,-0.10205073693305244,2.269309809191954,0.009416223274655411,32,sz.002594,BYD,1.0,0.001,0.05,
A2C (Daily),1.010355327,0.01035532700000008,0.14661429746798824,-0.10391684427750458,8.660696527991963,0.035936500116149225,88,sz.002594,BYD,2.0,0.001,0.05,
GARCH,1.1816609410000012,0.18166094100000119,0.6585807139164002,-0.2059477571175975,,,0,sz.002594,BYD,,,,
Buy&Hold,1.415476733,0.415476733,1.1580749486082622,-0.19022393866308684,,,0,sz.002594,BYD,,,,
Transaction-Cost-Aware R-PPO,0.9128363580000001,-0.08716364199999993,-0.4004760663037453,-0.19526255187482655,3.012246533992591,0.012498948273828178,17,sh.600519,Kweichow Moutai,0.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,0.971165,-0.028835000000000055,-0.1203586901338124,-0.11675705434846007,0.4940684904108744,0.0020500767236965745,2,sh.600519,Kweichow Moutai,1.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.0221669100000002,0.02216691000000015,0.21320841228838727,-0.20323195098317726,3.8528977248970193,0.01598712748919925,23,sh.600519,Kweichow Moutai,2.0,0.005,0.05,0.0
PPO (Daily),0.9816802130000013,-0.0183197869999987,-0.025862261668177268,-0.18087978208766675,32.64222054468894,0.13544489852568026,135,sh.600519,Kweichow Moutai,0.0,0.001,0.05,
PPO (Daily),0.9486648350000004,-0.05133516499999957,-0.2733522580385525,-0.1572921159934726,11.016946457461957,0.04571347077785044,61,sh.600519,Kweichow Moutai,1.0,0.001,0.05,
PPO (Daily),0.8971805640000001,-0.10281943599999988,-0.681611406113504,-0.16029364530050405,17.592248115033666,0.07299688014536791,91,sh.600519,Kweichow Moutai,2.0,0.001,0.05,
A2C (Daily),0.990548523,-0.009451477000000041,0.013025204381244153,-0.14236359207096727,1.8589516691555243,0.007713492403134956,10,sh.600519,Kweichow Moutai,0.0,0.001,0.05,
A2C (Daily),0.9597905390000001,-0.04020946099999989,-0.17756658137850373,-0.1354470360483555,1.190464513501869,0.004939686778016054,5,sh.600519,Kweichow Moutai,1.0,0.001,0.05,
A2C (Daily),0.9606232810000002,-0.03937671899999984,-0.17412208434513063,-0.14251578740560844,1.5231014213707081,0.006319922910251901,8,sh.600519,Kweichow Moutai,2.0,0.001,0.05,
GARCH,0.9210480900000001,-0.0789519099999999,-0.09696359908510323,-0.255729354564062,,,0,sh.600519,Kweichow Moutai,,,,
Buy&Hold,0.9026275000000001,-0.09737249999999986,-0.2220359940224802,-0.24795259435630845,,,0,sh.600519,Kweichow Moutai,,,,
Transaction-Cost-Aware R-PPO,1.0466248640000002,0.04662486400000021,0.440470513541691,-0.08550438329484189,2.9947286143225638,0.012426259810467069,9,sz.002415,Hikvision,0.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.0966013650000002,0.09660136500000016,0.49342960600997793,-0.23532798689102052,6.298525942930383,0.02613496241879827,42,sz.002415,Hikvision,1.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.0447224130000006,0.04472241300000057,0.3019288298373401,-0.2753497940752482,5.148698460483512,0.02136389402690254,24,sz.002415,Hikvision,2.0,0.005,0.05,0.0
PPO (Daily),0.9416762850000009,-0.05832371499999911,-0.21369101705497368,-0.18430836842114662,17.502231316340296,0.07262336645784355,144,sz.002415,Hikvision,0.0,0.001,0.05,
PPO (Daily),0.9485089250000003,-0.05149107499999972,-0.24176287281814546,-0.16022774904334813,10.176972051022252,0.04222809979677283,109,sz.002415,Hikvision,1.0,0.001,0.05,
PPO (Daily),0.8607389110000013,-0.13926108899999867,-0.968738431732131,-0.18763554477959243,22.86952915824691,0.09489431185994568,158,sz.002415,Hikvision,2.0,0.001,0.05,
A2C (Daily),0.9733689310000001,-0.026631068999999896,-0.06455970674515048,-0.1676419805742857,2.3872371956898504,0.009905548529833405,27,sz.002415,Hikvision,0.0,0.001,0.05,
A2C (Daily),0.9649356600000002,-0.035064339999999805,-0.12875011506052103,-0.15743409949957043,0.9935694414965347,0.00412269477799392,10,sz.002415,Hikvision,1.0,0.001,0.05,
A2C (Daily),0.954493238,-0.045506762000000034,-0.1742700350557774,-0.15989651428524254,1.4571803068055182,0.006046391314545719,16,sz.002415,Hikvision,2.0,0.001,0.05,
GARCH,0.7923630500000018,-0.20763694999999815,-0.881274843467678,-0.2340619335449733,,,0,sz.002415,Hikvision,,,,
Buy&Hold,0.8928330520000002,-0.10716694799999982,-0.17292490220639664,-0.29623069041453587,,,0,sz.002415,Hikvision,,,,
Transaction-Cost-Aware R-PPO,0.9664117380000001,-0.03358826199999987,0.032781294650242675,-0.29725093538243985,6.384506528296925,0.026491728333182262,72,sz.000963,Huadong Medicine,0.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.0079188230000005,0.007918823000000463,0.16634749395679338,-0.21395986348270402,7.992852192536961,0.03316536179475917,23,sz.000963,Huadong Medicine,1.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,0.9048476440000011,-0.09515235599999894,-0.12095633603312644,-0.2944535097723082,12.483687966194726,0.0517995351294387,36,sz.000963,Huadong Medicine,2.0,0.005,0.05,0.0
PPO (Daily),0.7966592120000021,-0.20334078799999789,-0.8345651820591359,-0.2268334865706938,51.564625722598606,0.2139611025833967,191,sz.000963,Huadong Medicine,0.0,0.001,0.05,
PPO (Daily),0.8951133400000013,-0.10488665999999869,-0.36174382327736454,-0.2510070572863061,25.470995138081786,0.10568877650656343,164,sz.000963,Huadong Medicine,1.0,0.001,0.05,
PPO (Daily),0.6737385830000028,-0.3262614169999972,-1.7831207756574,-0.3343148954023518,57.21989178950032,0.23742693688589345,204,sz.000963,Huadong Medicine,2.0,0.001,0.05,
A2C (Daily),0.947963195,-0.052036804999999964,-0.2245013259942757,-0.16622728297709288,2.2537912089051244,0.009351830742344915,31,sz.000963,Huadong Medicine,0.0,0.001,0.05,
A2C (Daily),0.9328700170000003,-0.06712998299999973,-0.29744788815675266,-0.1885172815908075,3.2977074446945025,0.013683433380475113,46,sz.000963,Huadong Medicine,1.0,0.001,0.05,
A2C (Daily),0.9158460130000002,-0.08415398699999976,-0.31005313493768333,-0.2158136095700368,1.5083640915380494,0.006258772164058297,15,sz.000963,Huadong Medicine,2.0,0.001,0.05,
GARCH,0.831734939000004,-0.16826506099999605,-0.365476140295372,-0.3067104171056806,,,0,sz.000963,Huadong Medicine,,,,
Buy&Hold,0.8569922870000001,-0.14300771299999993,-0.2224975789291771,-0.3489416895068119,,,0,sz.000963,Huadong Medicine,,,,
Transaction-Cost-Aware R-PPO,1.1934001910000003,0.19340019100000028,1.032321724519575,-0.1498018505073181,6.9756823016936025,0.02894473984105229,25,sh.600887,Yili Group,0.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.10187475,0.1018747499999999,0.6804574352258118,-0.15673246041582312,1.859472119015753,0.007715651946123457,23,sh.600887,Yili Group,1.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.2536149190000003,0.2536149190000003,0.9548955102103651,-0.1732079392280249,6.966391664754244,0.028906189480308066,22,sh.600887,Yili Group,2.0,0.005,0.05,0.0
PPO (Daily),0.9601046720000023,-0.03989532799999773,-0.09758639612614452,-0.21746358239535557,42.42270026431634,0.17602780192662382,190,sh.600887,Yili Group,0.0,0.001,0.05,
PPO (Daily),1.0250677330000009,0.02506773300000087,0.24731046877934976,-0.15070845910727082,13.015372517062488,0.0540056950915456,128,sh.600887,Yili Group,1.0,0.001,0.05,
PPO (Daily),1.0554429640000003,0.05544296400000026,0.42570527752978576,-0.16413386417856224,7.421673706958508,0.030795326584890075,88,sh.600887,Yili Group,2.0,0.001,0.05,
A2C (Daily),1.0612373499999999,0.06123734999999986,0.4490422518908999,-0.16214714996424462,2.8482914953499208,0.011818636910165646,36,sh.600887,Yili Group,0.0,0.001,0.05,
A2C (Daily),1.081498049,0.0814980489999999,0.5754919269572295,-0.1470023871785331,2.170078668036768,0.00900447580098244,27,sh.600887,Yili Group,1.0,0.001,0.05,
A2C (Daily),1.054327058,0.05432705799999993,0.43301084795044303,-0.14126902758639925,0.8467913443599694,0.003513657030539292,7,sh.600887,Yili Group,2.0,0.001,0.05,
GARCH,0.8261352740000018,-0.17386472599999825,-2.7057960220790997,-0.2022500379999984,,,0,sh.600887,Yili Group,,,,
Buy&Hold,1.1131345950000002,0.11313459500000023,0.5057739250703788,-0.26427978128291385,,,0,sh.600887,Yili Group,,,,
Transaction-Cost-Aware R-PPO,1.0531033790000002,0.05310337900000017,0.3692202487982035,-0.14171502699686234,1.558259136393409,0.006465805545200868,19,sh.600585,Conch Cement,0.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.2957276680000003,0.2957276680000003,1.1519091490505278,-0.1619373688592003,3.9649507354844236,0.01645207774059927,19,sh.600585,Conch Cement,1.0,0.005,0.05,0.0
Transaction-Cost-Aware R-PPO,1.0787505290000001,0.07875052900000012,0.5190869423002283,-0.12926407336509638,1.2730166861355316,0.005282226913425442,15,sh.600585,Conch Cement,2.0,0.005,0.05,0.0
PPO (Daily),0.9716596040000006,-0.02834039599999938,-0.11680631446460661,-0.11942857951980901,12.362115189762601,0.051295083774948555,124,sh.600585,Conch Cement,0.0,0.001,0.05,
PPO (Daily),1.0038014920000002,0.0038014920000002395,0.10055304988590542,-0.12137578440763563,12.489326963679147,0.05182293345924957,121,sh.600585,Conch Cement,1.0,0.001,0.05,
PPO (Daily),1.0287567490000007,0.028756749000000692,0.2677426663879459,-0.11596006628050626,17.23875625287944,0.07153010893310971,150,sh.600585,Conch Cement,2.0,0.001,0.05,
A2C (Daily),1.043721955,0.04372195500000009,0.3469003816092619,-0.12102690103948266,1.3133958905396135,0.005449775479417484,14,sh.600585,Conch Cement,0.0,0.001,0.05,
A2C (Daily),1.047870147,0.04787014700000003,0.3699014262842706,-0.12256862228689624,0.9870037072617758,0.004095451067476248,8,sh.600585,Conch Cement,1.0,0.001,0.05,
A2C (Daily),1.044114516,0.04411451600000005,0.3596275712556343,-0.11619542288158502,0.9133474138621145,0.00378982329403367,8,sh.600585,Conch Cement,2.0,0.001,0.05,
GARCH,1.0,0.0,,0.0,,,0,sh.600585,Conch Cement,,,,
Buy&Hold,1.0641938700000002,0.06419387000000021,0.3592842989897265,-0.22568344584041022,,,0,sh.600585,Conch Cement,,,,
