metric,raw_metric,better_direction,comparison,competitor,n_pairs,rppo_mean,competitor_mean,mean_advantage,median_advantage,rppo_better_n,competitor_better_n,ties_n,win_rate,paired_t_stat,paired_t_pvalue,wilcoxon_stat,wilcoxon_pvalue,sign_test_pvalue,exact_sign_flip_pvalue,cohens_dz,conclusion
Final NAV,final_nav_mean,higher,Transaction-Cost-Aware R-PPO vs PPO (Daily),PPO (Daily),8,1.1584549580833334,1.0005825011666678,0.15787245691666574,0.14339804199999967,8,0,0,1.0,4.787179267575636,0.001995633832794497,0.0,0.0078125,0.0078125,0.0078125,1.692523461429191,R-PPO advantage is statistically significant at the 5% level by paired t-test.
Final NAV,final_nav_mean,higher,Transaction-Cost-Aware R-PPO vs A2C (Daily),A2C (Daily),8,1.1584549580833334,1.0663003162083333,0.09215464187500011,0.0746062234999999,7,1,0,0.875,2.7218958728771083,0.029684166511472532,1.0,0.015625,0.0703125,0.015625,0.96233551469754,R-PPO advantage is statistically significant at the 5% level by paired t-test.
Final NAV,final_nav_mean,higher,Transaction-Cost-Aware R-PPO vs GARCH,GARCH,8,1.1584549580833334,0.9366231378750021,0.2218318202083316,0.22043502133333093,8,0,0,1.0,5.356335442416289,0.0010569549118780459,0.0,0.0078125,0.0078125,0.0078125,1.8937505568212019,R-PPO advantage is statistically significant at the 5% level by paired t-test.
Final NAV,final_nav_mean,higher,Transaction-Cost-Aware R-PPO vs Buy&Hold,Buy&Hold,8,1.1584549580833334,1.1325694615000002,0.0258854965833335,0.0679619738333333,6,2,0,0.75,0.6041833922841345,0.56478142931497,13.0,0.546875,0.2890625,0.5546875,0.21361108688220176,"R-PPO shows a positive average advantage and wins most paired stocks, but significance is limited by sample size."
Sharpe ratio,sharpe_mean,higher,Transaction-Cost-Aware R-PPO vs PPO (Daily),PPO (Daily),8,0.6938274557050941,0.06349482034072941,0.6303326353643646,0.6468287096854127,8,0,0,1.0,5.904933827251129,0.0005965030658454135,0.0,0.0078125,0.0078125,0.0078125,2.0877093758535534,R-PPO advantage is statistically significant at the 5% level by paired t-test.
Sharpe ratio,sharpe_mean,higher,Transaction-Cost-Aware R-PPO vs A2C (Daily),A2C (Daily),8,0.6938274557050941,0.4155158967370471,0.278311558968047,0.31232696044373576,7,1,0,0.875,3.096917153968989,0.01739733869932134,2.0,0.0234375,0.0703125,0.0234375,1.0949255601722079,R-PPO advantage is statistically significant at the 5% level by paired t-test.
Sharpe ratio,sharpe_mean,higher,Transaction-Cost-Aware R-PPO vs GARCH,GARCH,7,0.6957925046082523,-0.7088043660990291,1.4045968707072813,0.7555812498814812,6,1,0,0.8571428571428571,2.690685378385844,0.03601978006160768,1.0,0.03125,0.125,0.03125,1.016983481075239,R-PPO advantage is statistically significant at the 5% level by paired t-test.
Sharpe ratio,sharpe_mean,higher,Transaction-Cost-Aware R-PPO vs Buy&Hold,Buy&Hold,8,0.6938274557050941,0.45313820450096964,0.2406892512041245,0.2435833306583313,7,1,0,0.875,3.4912492381865037,0.01011160783584492,1.0,0.015625,0.0703125,0.015625,1.2343430055670226,R-PPO advantage is statistically significant at the 5% level by paired t-test.
Maximum drawdown,max_drawdown_mean,higher,Transaction-Cost-Aware R-PPO vs PPO (Daily),PPO (Daily),8,-0.167923224101373,-0.15658826470725135,-0.011334959394121678,-0.014600658137041304,2,6,0,0.25,-2.0305045773217887,0.08185181135313607,5.0,0.078125,0.2890625,0.078125,-0.7178917779272804,No positive R-PPO advantage on this metric.
Maximum drawdown,max_drawdown_mean,higher,Transaction-Cost-Aware R-PPO vs A2C (Daily),A2C (Daily),8,-0.167923224101373,-0.132904177194809,-0.035019046906564016,-0.03292735344020984,0,8,0,0.0,-4.7378779871873,0.0021130847252839166,0.0,0.0078125,0.0078125,0.0078125,-1.675092826587305,No positive R-PPO advantage on this metric.
Maximum drawdown,max_drawdown_mean,higher,Transaction-Cost-Aware R-PPO vs GARCH,GARCH,8,-0.167923224101373,-0.19758410286456699,0.029660878763193958,0.04024580108806984,7,1,0,0.875,1.143022667718384,0.29061087608131453,8.0,0.1953125,0.0703125,0.296875,0.40411953969680353,"R-PPO shows a positive average advantage and wins most paired stocks, but significance is limited by sample size."
Maximum drawdown,max_drawdown_mean,higher,Transaction-Cost-Aware R-PPO vs Buy&Hold,Buy&Hold,8,-0.167923224101373,-0.24584199709022414,0.07791877298885112,0.08088243803050926,8,0,0,1.0,11.249983958588425,9.793449958982989e-06,0.0,0.0078125,0.0078125,0.0078125,3.977469972678877,R-PPO advantage is statistically significant at the 5% level by paired t-test.
Total turnover,total_turnover_mean,lower,Transaction-Cost-Aware R-PPO vs PPO (Daily),PPO (Daily),8,4.609616796583925,24.908504021088817,20.298887224504888,14.9608477114282,8,0,0,1.0,4.666701708656385,0.002296364504635518,0.0,0.0078125,0.0078125,0.0078125,1.6499282119828886,R-PPO advantage is statistically significant at the 5% level by paired t-test.
Total turnover,total_turnover_mean,lower,Transaction-Cost-Aware R-PPO vs A2C (Daily),A2C (Daily),8,4.609616796583925,2.135104661708131,-2.474512134875794,-2.197740936682403,1,7,0,0.125,-2.558134753320268,0.03765393837601028,4.0,0.0546875,0.0703125,0.046875,-0.9044372156308688,No positive R-PPO advantage on this metric.
Trade count,trade_count_mean,lower,Transaction-Cost-Aware R-PPO vs PPO (Daily),PPO (Daily),8,25.125,144.16666666666669,119.04166666666667,113.0,8,0,0,1.0,14.333225409685989,1.914617118153584e-06,0.0,0.0078125,0.0078125,0.0078125,5.067560441732147,R-PPO advantage is statistically significant at the 5% level by paired t-test.
Trade count,trade_count_mean,lower,Transaction-Cost-Aware R-PPO vs A2C (Daily),A2C (Daily),8,25.125,23.624999999999996,-1.5,-6.833333333333332,2,5,1,0.25,-0.20888314009937725,0.8404878600954991,11.0,0.6875,0.453125,0.875,-0.07385134241990465,No positive R-PPO advantage on this metric.
